core
1000000000 139 171 342 316 289 228 209 385 328 217 107 138 234 238 211 396 243 338 138 212 166 143 269 142 216 306 338 268 282 188 359 155 320 126 281 175 186 203 335 337 175 262 122 368 389 209 86 85 119 19 84 128 96 88 14 140 36 59 105 75 90 93 32 11 144 124 31 104 81
has_camera
0 1 0 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 0 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1
has_gpu
0 0 1 0 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 0 1
bandwidth
0,2 151
0,3 514
0,4 255
0,6 507
0,8 183
0,9 562
0,10 187
0,11 432
0,12 324
0,14 180
0,15 268
0,17 321
0,18 213
0,19 320
0,20 161
0,21 416
0,22 577
0,25 290
0,26 326
0,27 438
0,28 567
0,34 202
0,41 177
1,4 277
1,13 579
1,17 372
1,26 133
1,31 314
1,44 587
2,14 161
2,25 216
2,45 583
3,5 125
3,24 446
3,27 367
3,35 517
3,42 558
4,13 279
4,14 250
4,17 573
4,65 402
5,24 507
5,25 113
5,56 590
6,43 316
6,67 198
7,12 425
7,16 339
7,36 468
7,38 293
7,60 246
8,19 407
8,46 559
8,51 225
9,32 417
9,39 150
9,41 180
9,61 338
10,20 130
10,24 420
11,13 390
11,44 292
12,36 475
12,38 594
12,45 562
13,14 303
13,21 402
14,21 250
14,25 144
14,64 507
15,28 301
15,53 333
16,22 306
17,26 236
18,31 452
18,44 243
19,23 110
19,34 574
20,24 454
20,33 581
20,42 516
20,68 423
21,41 596
22,40 239
23,37 180
23,69 456
24,42 443
25,45 208
25,54 593
26,31 261
26,58 589
27,35 371
27,37 191
27,66 300
28,39 165
28,44 275
29,32 376
29,40 588
29,41 584
29,57 185
30,34 437
30,45 407
31,49 288
32,63 119
33,62 376
34,46 145
35,42 508
36,59 205
37,47 489
38,46 596
38,52 346
40,43 463
41,48 305
44,50 534
45,55 449
latency
0,2 1
0,3 1
0,4 1
0,6 1
0,8 1
0,9 1
0,10 1
0,11 1
0,12 1
0,14 1
0,15 1
0,17 1
0,18 1
0,19 1
0,20 1
0,21 1
0,22 1
0,25 1
0,26 1
0,27 1
0,28 1
0,34 1
0,41 1
1,4 1
1,13 1
1,17 1
1,26 1
1,31 1
1,44 1
2,14 1
2,25 1
2,45 1
3,5 1
3,24 1
3,27 1
3,35 1
3,42 1
4,13 1
4,14 1
4,17 1
4,65 1
5,24 1
5,25 1
5,56 1
6,43 1
6,67 1
7,12 1
7,16 1
7,36 1
7,38 1
7,60 1
8,19 1
8,46 1
8,51 1
9,32 1
9,39 1
9,41 1
9,61 1
10,20 1
10,24 1
11,13 1
11,44 1
12,36 1
12,38 1
12,45 1
13,14 1
13,21 1
14,21 1
14,25 1
14,64 1
15,28 1
15,53 1
16,22 1
17,26 1
18,31 1
18,44 1
19,23 1
19,34 1
20,24 1
20,33 1
20,42 1
20,68 1
21,41 1
22,40 1
23,37 1
23,69 1
24,42 1
25,45 1
25,54 1
26,31 1
26,58 1
27,35 1
27,37 1
27,66 1
28,39 1
28,44 1
29,32 1
29,40 1
29,41 1
29,57 1
30,34 1
30,45 1
31,49 1
32,63 1
33,62 1
34,46 1
35,42 1
36,59 1
37,47 1
38,46 1
38,52 1
40,43 1
41,48 1
44,50 1
45,55 1
