core
1000000000 242 386 348 239 366 122 298 180 173 304 331 367 163 362 350 194 118 332 348 238 33 30 62 116 54 14 107 114 35
has_camera
0 1 1 1 1 1 1 1 0 0 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1
has_gpu
0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1
bandwidth
0,2 144
0,3 583
0,5 345
0,6 301
0,7 465
0,9 247
0,10 419
0,11 524
0,12 502
0,19 162
0,20 585
1,11 467
1,19 449
2,4 194
2,6 562
3,11 296
3,13 571
4,6 216
4,12 146
4,25 521
5,7 392
5,8 295
5,12 588
5,13 588
6,8 105
6,14 413
7,9 504
7,12 447
8,10 401
8,12 361
8,13 367
9,22 254
10,13 171
10,14 298
11,15 448
11,18 571
11,26 582
12,21 200
13,28 114
14,17 595
14,23 436
15,16 479
15,18 507
16,18 280
16,20 533
16,24 421
17,19 422
17,27 290
18,20 272
20,29 291
latency
0,2 1
0,3 1
0,5 1
0,6 1
0,7 1
0,9 1
0,10 1
0,11 1
0,12 1
0,19 1
0,20 1
1,11 1
1,19 1
2,4 1
2,6 1
3,11 1
3,13 1
4,6 1
4,12 1
4,25 1
5,7 1
5,8 1
5,12 1
5,13 1
6,8 1
6,14 1
7,9 1
7,12 1
8,10 1
8,12 1
8,13 1
9,22 1
10,13 1
10,14 1
11,15 1
11,18 1
11,26 1
12,21 1
13,28 1
14,17 1
14,23 1
15,16 1
15,18 1
16,18 1
16,20 1
16,24 1
17,19 1
17,27 1
18,20 1
20,29 1
