core
1000000000 245 379 176 336 125 103 110 189 244 102 284 349 252 133 347 117 253 395 208 234 45 54 43 16 114 64 150 61 120
has_camera
0 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 0 0 0 0 1 0 1 1 1 1 1 1 0
has_gpu
0 0 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 0 1 1 1 0
bandwidth
0,2 362
0,3 415
0,4 143
0,5 461
0,6 335
0,7 523
0,8 394
0,10 367
0,11 413
0,12 292
0,20 447
1,12 251
1,20 546
1,28 453
2,3 220
2,5 540
2,11 176
2,18 561
3,11 295
3,26 284
4,8 384
4,10 110
4,13 581
4,16 524
5,10 455
5,11 150
5,14 469
5,19 289
6,7 587
6,12 488
6,16 234
6,19 200
7,18 229
7,19 392
7,24 311
7,27 326
8,13 248
8,17 536
9,12 426
10,14 133
10,16 576
10,19 101
10,29 176
11,15 187
13,25 359
14,15 512
15,22 439
17,23 141
18,19 347
20,21 381
latency
0,2 1
0,3 1
0,4 1
0,5 1
0,6 1
0,7 1
0,8 1
0,10 1
0,11 1
0,12 1
0,20 1
1,12 1
1,20 1
1,28 1
2,3 1
2,5 1
2,11 1
2,18 1
3,11 1
3,26 1
4,8 1
4,10 1
4,13 1
4,16 1
5,10 1
5,11 1
5,14 1
5,19 1
6,7 1
6,12 1
6,16 1
6,19 1
7,18 1
7,19 1
7,24 1
7,27 1
8,13 1
8,17 1
9,12 1
10,14 1
10,16 1
10,19 1
10,29 1
11,15 1
13,25 1
14,15 1
15,22 1
17,23 1
18,19 1
20,21 1
