core
1000000000 314 193 104 127 328 144 254 370 379 180 119 248 353 288 120 295 203 168 229 362 390 142 269 329 177 182 44 39 135 40 41 27 27 119 50 123 92 131 88
has_camera
0 0 1 1 1 0 1 0 1 1 1 0 1 1 0 1 0 1 0 1 1 1 0 1 0 0 1 0 1 1 1 1 0 1 1 1 0 0 1 1
has_gpu
0 0 1 1 0 0 1 0 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 0 1 1 1 0 1 1 1 0 1 1 0
bandwidth
0,4 257
0,6 188
0,7 440
0,8 294
0,9 565
0,10 131
0,11 455
0,12 463
0,13 235
0,14 143
0,15 259
0,23 297
1,5 590
1,9 537
1,14 215
1,26 336
2,13 400
2,17 557
2,37 167
3,23 483
3,30 563
4,5 558
4,10 238
4,19 163
5,15 397
6,8 136
6,20 165
6,34 135
7,8 205
7,23 535
8,18 437
8,24 417
8,32 593
8,35 348
9,14 120
9,26 181
9,28 230
10,11 437
10,16 278
10,19 259
10,25 156
11,16 456
12,18 112
12,22 330
13,17 472
13,21 354
14,15 444
14,20 495
14,26 212
15,19 146
16,25 128
16,31 389
18,22 232
18,24 198
18,39 468
19,25 504
20,21 578
20,33 344
21,36 361
22,24 595
22,29 352
23,27 191
23,38 228
24,25 582
latency
0,4 1
0,6 1
0,7 1
0,8 1
0,9 1
0,10 1
0,11 1
0,12 1
0,13 1
0,14 1
0,15 1
0,23 1
1,5 1
1,9 1
1,14 1
1,26 1
2,13 1
2,17 1
2,37 1
3,23 1
3,30 1
4,5 1
4,10 1
4,19 1
5,15 1
6,8 1
6,20 1
6,34 1
7,8 1
7,23 1
8,18 1
8,24 1
8,32 1
8,35 1
9,14 1
9,26 1
9,28 1
10,11 1
10,16 1
10,19 1
10,25 1
11,16 1
12,18 1
12,22 1
13,17 1
13,21 1
14,15 1
14,20 1
14,26 1
15,19 1
16,25 1
16,31 1
18,22 1
18,24 1
18,39 1
19,25 1
20,21 1
20,33 1
21,36 1
22,24 1
22,29 1
23,27 1
23,38 1
24,25 1
